paper,referenced_paper,is_referenced
p2128,p3728,0
p0389,p3811,0
p1298,p3760,0
p0211,p1808,0
p0843,p2964,0
p1606,p3627,0
p1960,p1851,0
p4002,p3465,0
p0576,p4274,0
p2373,p1630,0
p2876,p0268,0
p0327,p2450,0
p1110,p0414,0
p0128,p2271,0
p0494,p4050,0
p3940,p0962,0
p2830,p4332,0
p4225,p2164,0
p1876,p0973,0
p1682,p0834,0
p1154,p2132,0
p3400,p1530,0
p1375,p2739,0
p3346,p2238,0
p4323,p4007,0
p0437,p0920,0
p0345,p2571,0
p1708,p1747,0
p4161,p0220,0
p0315,p3781,0
p1236,p2215,0
p0534,p3497,0
p4213,p1681,0
p2879,p2679,0
p2123,p2764,0
p4163,p1741,0
p2059,p3233,0
p2598,p3725,0
p2990,p0664,0
p1557,p3083,0
p0593,p3899,0
p2351,p2550,0
p3705,p4006,0
p2128,p4247,0
p2645,p0409,0
p2409,p0950,0
p2425,p1902,0
p1032,p2965,0
p0655,p2791,0
p0943,p3190,0
p4136,p2148,0
p4217,p0694,0
p2975,p0066,0
p0128,p2987,0
p0679,p0495,0
p3324,p1691,0
p1275,p1139,0
p3678,p1343,0
p1614,p3626,0
p2312,p4335,0
p0185,p1963,0
p0487,p0018,0
p3527,p2184,0
p2065,p2138,0
p2571,p3667,0
p1245,p3518,0
p2790,p0607,0
p3698,p3819,0
p0889,p2105,0
p0733,p0537,0
p2580,p2860,0
p0111,p2590,0
p1367,p0887,0
p1189,p4345,0
p0258,p1961,0
p1420,p3956,0
p2996,p3212,0
p3883,p2360,0
p1694,p2446,0
p2816,p1325,0
p0031,p4313,0
p3941,p0496,0
p0082,p1931,0
p1992,p0451,0
p3678,p2745,0
p2979,p0572,0
p1159,p3220,0
p2803,p1517,0
p1723,p2578,0
p3772,p3972,0
p1948,p3616,0
p0229,p1052,0
p2361,p1873,0
p3120,p1918,0
p3073,p2141,0
p3858,p3749,0
p0348,p0171,0
p3352,p3020,0
p3581,p2595,0
p3939,p2988,0
p1497,p4353,0
p0661,p4001,0
p2491,p1400,0
p1741,p1057,0
p1607,p0386,0
p3461,p1458,0
p0619,p1837,0
p0057,p2504,0
p1469,p1928,0
p0972,p3905,0
p0801,p1601,0
p2456,p2753,0
p1723,p3898,0
p3080,p3213,0
p2707,p3994,0
p2990,p2275,0
p0719,p4105,0
p0453,p3186,0
p2123,p2136,0
p2568,p0350,0
p3858,p0434,0
p2816,p3733,0
p0670,p1082,0
p1213,p2452,0
p4088,p0804,0
p0136,p0403,0
p3309,p3897,0
p4166,p3300,0
p1193,p2748,0
p0162,p3103,0
p1044,p1743,0
p1759,p0749,0
p4054,p3947,0
p3658,p3728,0
p4046,p2791,0
p3813,p0829,0
p2383,p1261,0
p1789,p1651,0
p2827,p1886,0
p2729,p3369,0
p2456,p0859,0
p0327,p0393,0
p0838,p0086,0
p2825,p1784,0
p3461,p2593,0
p1687,p3311,0
p0448,p2217,0
p1154,p0383,0
p2159,p0640,0
p2340,p1680,0
p3552,p0841,0
p3352,p0395,0
p4181,p3275,0
p0067,p4101,1
p3753,p1061,0
p0359,p2208,0
p1206,p3190,0
p0779,p0899,0
p2983,p4101,0
p4217,p0183,0
p3073,p0985,0
p2078,p3466,0
p0335,p2680,0
p2013,p2799,0
p3882,p2964,0
p3120,p4194,0
p3581,p1470,0
p4185,p1512,0
p0309,p4013,0
p0617,p3157,0
p1729,p3391,0
p1826,p1214,0
p0453,p1336,0
p0003,p3710,0
p1744,p3602,0
p1935,p4321,0
p0988,p3458,0
p3216,p0533,0
p3277,p3275,0
p3968,p1135,0
p3882,p2859,0
p2031,p3857,0
p1894,p3406,0
p0057,p3646,0
p4078,p0261,0
p4260,p3887,0
p1650,p2265,0
p1197,p4096,0
p2664,p0928,0
p3689,p2094,0
p2143,p1781,0
p0666,p1148,0
p0360,p1113,0
p0498,p0050,0
p1966,p1788,0
p3348,p1322,0
p3243,p2090,0
p4103,p3816,0
p1682,p1631,0
p0389,p0755,0
p2601,p3310,0
p2219,p0903,0
p2322,p1359,0
p0127,p3367,0
p4181,p0242,0
p1924,p2378,0
p3476,p3940,0
p1151,p0419,0
p1966,p2809,0
p2830,p3592,0
p3467,p1994,0
p0203,p3214,0
p4266,p0220,0
p3465,p2169,0
p4204,p3828,0
p4103,p2613,0
p3944,p3243,0
p1126,p0575,0
p2816,p2309,0
p0701,p1766,0
p2612,p1573,0
p1246,p0744,0
p3159,p0438,0
p1627,p1554,0
p1848,p0633,0
p2473,p3164,0
p2769,p0127,1
p2137,p4087,0
p1741,p3209,0
p3016,p2729,0
p0176,p0362,0
p4322,p4029,0
p4260,p1160,0
p1169,p2074,0
p2591,p0007,0
p1126,p0325,0
p2825,p2627,0
p1988,p1041,0
p4157,p0199,0
p3525,p2241,0
p2687,p0950,0
p1062,p1213,0
p3197,p1077,0
p2612,p1934,0
p2836,p1297,0
p4108,p1887,0
p2013,p2710,0
p0136,p0821,0
p0523,p1666,0
p4266,p4012,0
p3509,p4006,0
p0770,p0491,0
p0757,p2186,0
p0643,p0164,0
p4103,p0513,0
p3920,p0469,0
p0449,p1583,0
p0942,p2676,0
p2159,p1128,0
p2380,p4074,0
p1030,p1201,0
p1241,p2765,0
p1689,p0000,0
p0427,p3759,0
p4118,p1012,0
p2664,p3615,0
p4025,p3287,0
p3821,p2037,0
p2580,p0935,0
p3916,p3742,0
p3376,p1802,0
p0136,p3221,0
p2830,p4102,0
p3584,p0905,0
p3437,p1642,0
p0247,p3315,0
p2236,p2857,0
p0090,p0858,0
p2482,p1918,0
p2601,p1718,0
p1549,p3932,0
p0335,p0865,0
p1468,p1375,0
p1487,p2932,0
p4041,p0507,0
p4225,p2054,0
p2322,p2575,0
p2673,p0860,0
p4130,p0708,0
p2784,p2198,0
p1687,p2025,0
p2482,p0945,0
p4121,p0975,0
p3144,p3828,0
p2373,p0573,0
p1966,p3584,0
p1796,p4024,0
p2954,p0772,0
p0628,p2821,0
p0973,p2395,0
p1209,p1498,0
p2501,p3598,0
p2560,p1883,0
p1469,p3784,0
p0389,p2980,0
p3527,p1297,0
p4266,p4058,0
p0878,p2001,0
p2419,p1578,0
p3018,p3892,0
p2361,p3848,1
p2017,p2349,0
p3197,p0484,0
p2588,p0855,0
p2954,p4012,0
p1816,p2295,0
p4204,p1550,0
p2412,p3228,0
p2137,p2447,0
p1729,p2730,0
p0270,p2910,0
p3197,p1411,0
p1375,p3322,0
p0838,p3580,0
p0838,p2671,0
p0549,p4294,0
p3969,p0384,0
p3805,p3226,0
p0451,p0174,0
p2304,p2370,0
p0999,p2243,0
p2017,p1914,0
p2830,p4209,0
p2412,p3007,0
p2695,p1003,0
p1482,p3222,0
p1531,p3758,0
p0176,p4187,0
p0500,p0682,0
p1935,p3774,0
p3753,p4104,0
p3454,p2053,0
p1687,p1214,0
p3362,p3957,0
p4046,p3523,0
p2494,p2025,0
p2032,p2757,0
p1744,p2967,0
p3707,p1943,0
p0585,p3740,0
p1010,p4221,0
p1848,p3573,0
p3515,p2088,0
p4041,p1490,0
p1374,p1017,0
p2937,p1001,0
p3920,p1203,0
p3817,p1401,0
p1492,p0869,0
p1970,p2242,0
p0613,p3281,0
p0162,p3808,0
p2928,p2127,0
p0500,p3957,0
p2100,p0485,0
p2568,p1793,0
p3002,p3407,0
p1734,p0654,0
p3764,p0510,0
p3707,p1933,0
p1032,p0330,0
p1860,p4217,0
p1169,p2299,0
p2236,p3312,1
p4122,p1296,0
p0888,p4019,0
p3858,p0938,0
p3378,p2382,0
p2491,p4112,0
p1995,p2761,0
p3645,p4112,0
p3448,p0370,0
p1253,p0227,0
p2975,p1583,0
p0111,p3800,0
p1860,p0704,0
p2385,p2977,0
p2748,p0095,0
p0326,p2153,0
p4026,p2771,0
p0655,p3619,0
p2848,p4255,0
p1055,p0051,0
p1970,p1665,0
p4232,p0907,0
p1245,p0891,0
p1689,p2258,0
p0760,p3448,0
p0067,p2632,0
p2100,p1512,0
p3707,p2328,0
p2749,p4125,0
p0193,p0171,0
p1759,p3870,0
p4226,p1867,0
p2171,p0039,0
p1777,p1276,0
p1055,p0471,0
p4025,p3181,0
p4002,p0040,0
p1597,p3444,0
p3320,p1913,0
p2515,p1833,0
p2312,p0767,0
p1750,p3367,0
p0607,p3799,0
p4041,p1962,0
p1548,p2352,0
p1213,p2433,0
p0296,p0194,0
p2542,p2014,0
p1531,p2719,0
p2469,p2930,0
p2937,p0150,0
p1995,p2979,0
p1170,p0712,0
p0804,p0054,0
p1487,p2942,0
p4193,p3241,0
p2875,p2866,0
p0779,p2772,0
p3120,p2578,0
p3645,p2614,0
p3021,p0940,0
p0500,p2230,0
p0688,p4205,0
p0944,p1316,0
p3418,p2719,0
p3178,p2731,0
p3509,p3881,0
p0080,p0622,0
p0771,p1943,0
p0972,p0839,0
p1029,p3393,0
p3764,p1787,0
p3645,p0741,0
p4163,p0174,0
p1799,p3127,0
p2993,p0192,0
p1966,p2340,0
p3817,p0824,0
p2255,p0017,0
p1966,p0129,0
p0136,p1539,0
p2173,p0004,0
p1723,p4222,0
p4275,p1043,0
p0085,p2024,0
p2948,p3632,0
p2319,p2101,0
p1010,p2848,0
p3308,p0841,0
p3296,p0910,0
p0757,p2396,0
p1945,p1010,0
p3946,p3180,0
p0998,p2318,0
p1810,p3759,0
p4322,p2895,0
p1879,p2717,0
p2816,p0211,0
p0563,p0753,0
p2926,p1129,0
p1607,p3031,0
p0843,p3582,0
p1826,p1263,0
p1805,p1149,0
p3131,p2962,0
p0043,p4016,0
p1073,p2875,0
p1288,p2678,0
p1255,p4129,0
p1924,p2561,0
p2419,p4325,1
p0485,p0042,0
p4333,p1981,0
p4122,p2141,0
p0973,p3443,0
p3882,p1809,0
p2515,p3751,0
p4216,p3193,0
p3427,p1234,0
p0838,p1775,0
p1750,p2416,0
p2488,p3945,0
p2373,p3867,0
p2357,p2987,0
p2645,p1521,0
p3806,p0408,0
p0988,p3579,0
p2610,p2487,0
p2276,p4133,0
p0733,p1737,0
p0972,p1775,0
p0159,p0695,0
p3463,p2072,0
p1324,p2388,0
p1197,p1500,0
p0760,p0650,0
p1596,p1622,0
p2818,p0753,0
p1692,p0366,0
p0987,p3967,0
p2902,p4137,1
p4161,p0376,0
p4309,p3646,0
p1894,p2627,0
p2436,p4123,0
p0613,p2512,0
p3821,p3819,0
