id,Data Quality,Usage
0,Fair,Private
1,Fair,Public
2,Fair,Public
3,Unknown,Private
4,Unknown,Private
5,Fair,Private
6,Fair,Private
7,Good,Public
8,Fair,Private
9,Unknown,Public
10,Fair,Private
11,Fair,Public
12,Fair,Public
13,Fair,Private
14,Fair,Private
15,Unknown,Private
16,Fair,Private
17,Fair,Private
18,Fair,Private
19,Unknown,Private
20,Fair,Private
21,Unknown,Private
22,Fair,Private
23,Fair,Private
24,Unknown,Private
25,Fair,Public
26,Fair,Private
27,Fair,Private
28,Fair,Private
29,Fair,Private
30,Fair,Private
31,Fair,Private
32,Unknown,Private
33,Fair,Public
34,Fair,Public
35,Fair,Public
36,Unknown,Private
37,Fair,Private
38,Fair,Private
39,Fair,Private
40,Fair,Private
41,Unknown,Private
42,Good,Private
43,Unknown,Public
44,Fair,Private
45,Fair,Private
46,Fair,Private
47,Fair,Private
48,Unknown,Private
49,Fair,Private
50,Fair,Public
51,Fair,Public
52,Unknown,Public
53,Fair,Public
54,Fair,Private
55,Fair,Public
56,Fair,Private
57,Unknown,Private
58,Fair,Private
59,Fair,Private
60,Unknown,Private
61,Fair,Private
62,Fair,Public
63,Unknown,Private
64,Good,Private
65,Fair,Private
66,Fair,Private
67,Fair,Public
68,Fair,Private
69,Fair,Public
70,Fair,Public
71,Fair,Private
72,Fair,Private
73,Fair,Public
74,Unknown,Public
75,Fair,Public
76,Fair,Public
77,Fair,Private
78,Fair,Private
79,Fair,Private
80,Unknown,Public
81,Fair,Private
82,Unknown,Private
83,Unknown,Private
84,Unknown,Private
85,Fair,Private
86,Fair,Public
87,Fair,Private
88,Fair,Public
89,Fair,Private
90,Fair,Private
91,Fair,Public
92,Fair,Public
93,Fair,Private
94,Fair,Public
95,Fair,Public
96,Fair,Public
97,Fair,Public
98,Fair,Public
99,Fair,Public
100,Fair,Public
101,Fair,Public
102,Unknown,Private
103,Fair,Private
104,Unknown,Public
105,Unknown,Private
106,Fair,Private
107,Fair,Public
108,Fair,Private
109,Fair,Private
110,Unknown,Private
111,Fair,Private
112,Fair,Public
113,Fair,Public
114,Unknown,Private
115,Unknown,Public
116,Fair,Public
117,Fair,Private
118,Fair,Public
119,Fair,Private
120,Fair,Public
121,Unknown,Public
122,Fair,Private
123,Fair,Private
124,Fair,Private
125,Fair,Private
126,Unknown,Public
127,Fair,Public
128,Fair,Private
129,Fair,Private
130,Fair,Private
131,Fair,Private
132,Fair,Private
133,Fair,Private
134,Fair,Public
135,Fair,Private
136,Fair,Private
137,Fair,Public
138,Fair,Private
139,Fair,Public
140,Unknown,Public
141,Fair,Private
142,Fair,Private
143,Fair,Private
144,Fair,Private
145,Fair,Private
146,Fair,Private
147,Fair,Private
148,Fair,Private
149,Unknown,Private
150,Fair,Public
151,Fair,Private
152,Fair,Private
153,Fair,Private
154,Fair,Public
155,Fair,Private
156,Unknown,Private
157,Fair,Public
158,Fair,Private
159,Fair,Public
160,Unknown,Private
161,Fair,Private
162,Fair,Private
163,Fair,Private
164,Fair,Private
165,Unknown,Public
166,Fair,Private
167,Fair,Private
168,Unknown,Private
169,Unknown,Private
170,Fair,Private
171,Unknown,Private
172,Unknown,Private
173,Fair,Private
174,Fair,Private
175,Fair,Private
176,Fair,Private
177,Fair,Private
178,Fair,Public
179,Fair,Private
180,Fair,Private
181,Fair,Private
182,Fair,Public
183,Fair,Public
184,Fair,Private
185,Fair,Private
186,Fair,Public
187,Fair,Private
188,Fair,Private
189,Fair,Private
190,Unknown,Private
191,Fair,Public
192,Fair,Public
193,Good,Private
194,Fair,Private
195,Fair,Private
196,Unknown,Public
197,Unknown,Public
198,Fair,Public
199,Fair,Public
200,Fair,Private
201,Fair,Private
202,Fair,Private
203,Fair,Public
204,Fair,Private
205,Fair,Private
206,Unknown,Private
207,Fair,Private
208,Fair,Private
209,Fair,Private
210,Fair,Private
211,Fair,Private
212,Fair,Private
213,Fair,Private
214,Fair,Public
215,Fair,Private
216,Unknown,Private
217,Fair,Public
218,Fair,Private
219,Unknown,Public
220,Unknown,Private
221,Fair,Private
222,Fair,Private
223,Fair,Private
224,Unknown,Private
225,Fair,Private
226,Fair,Public
227,Fair,Private
228,Fair,Public
229,Fair,Private
230,Fair,Public
231,Fair,Private
232,Fair,Private
233,Fair,Private
234,Fair,Private
235,Fair,Public
236,Fair,Private
237,Fair,Private
238,Fair,Private
239,Fair,Private
240,Unknown,Public
241,Fair,Public
242,Unknown,Public
243,Fair,Private
244,Fair,Private
245,Fair,Public
246,Fair,Private
247,Unknown,Public
248,Fair,Public
249,Unknown,Public
250,Fair,Private
251,Fair,Private
252,Fair,Public
253,Fair,Private
254,Fair,Private
255,Fair,Private
256,Fair,Public
257,Fair,Private
258,Fair,Private
259,Fair,Private
260,Unknown,Private
261,Unknown,Public
262,Fair,Private
263,Fair,Private
264,Fair,Public
265,Fair,Public
266,Fair,Private
267,Fair,Public
268,Fair,Private
269,Fair,Private
270,Fair,Public
271,Fair,Public
272,Fair,Public
273,Fair,Public
274,Fair,Private
275,Fair,Private
276,Fair,Public
277,Fair,Private
278,Unknown,Public
279,Fair,Public
280,Unknown,Public
281,Fair,Private
282,Fair,Public
283,Fair,Private
284,Good,Public
285,Fair,Private
286,Fair,Public
287,Fair,Private
288,Fair,Public
289,Fair,Private
290,Unknown,Private
291,Fair,Private
292,Unknown,Public
293,Fair,Public
294,Fair,Private
295,Fair,Private
296,Unknown,Public
297,Fair,Private
298,Fair,Private
299,Fair,Private
300,Fair,Private
301,Fair,Private
302,Fair,Private
303,Unknown,Private
304,Fair,Public
305,Fair,Public
306,Fair,Private
307,Unknown,Private
308,Fair,Public
309,Fair,Private
310,Unknown,Private
311,Fair,Private
312,Fair,Private
313,Fair,Public
314,Unknown,Public
315,Fair,Private
316,Unknown,Private
317,Fair,Private
318,Fair,Private
319,Fair,Private
320,Fair,Private
321,Fair,Public
322,Fair,Private
323,Unknown,Private
324,Fair,Public
325,Unknown,Public
326,Good,Private
327,Fair,Private
328,Fair,Private
329,Unknown,Private
330,Fair,Private
331,Fair,Public
332,Fair,Private
333,Fair,Private
334,Fair,Private
335,Fair,Private
336,Fair,Public
337,Unknown,Public
338,Fair,Private
339,Fair,Private
340,Unknown,Private
341,Fair,Private
342,Fair,Private
343,Unknown,Private
344,Unknown,Private
345,Unknown,Private
346,Fair,Private
347,Fair,Private
348,Fair,Private
349,Unknown,Private
350,Fair,Private
351,Fair,Public
352,Fair,Private
353,Fair,Private
354,Fair,Private
355,Fair,Private
356,Unknown,Private
357,Fair,Private
358,Fair,Public
359,Fair,Private
360,Fair,Private
361,Unknown,Private
362,Unknown,Private
363,Fair,Private
364,Fair,Public
365,Fair,Private
366,Fair,Public
367,Fair,Public
368,Unknown,Private
369,Fair,Private
370,Fair,Private
371,Fair,Private
372,Unknown,Private
373,Fair,Private
374,Unknown,Private
375,Unknown,Private
376,Fair,Public
377,Fair,Private
378,Fair,Public
379,Fair,Private
380,Fair,Private
381,Fair,Private
382,Fair,Private
383,Fair,Public
384,Unknown,Public
385,Fair,Public
386,Fair,Private
387,Fair,Private
388,Fair,Public
389,Fair,Public
390,Fair,Public
391,Fair,Private
392,Fair,Private
393,Fair,Public
394,Unknown,Private
395,Unknown,Public
396,Fair,Public
397,Fair,Private
398,Good,Public
399,Fair,Public
400,Fair,Private
401,Fair,Public
402,Unknown,Private
403,Fair,Public
404,Fair,Private
405,Fair,Public
406,Fair,Private
407,Fair,Private
408,Fair,Public
409,Fair,Private
410,Fair,Private
411,Good,Public
412,Fair,Public
413,Fair,Private
414,Fair,Private
415,Fair,Private
416,Fair,Private
417,Unknown,Private
418,Unknown,Private
419,Fair,Public
420,Fair,Public
421,Fair,Public
422,Fair,Private
423,Fair,Private
424,Unknown,Private
425,Fair,Private
426,Unknown,Private
427,Unknown,Public
428,Unknown,Private
429,Fair,Private
430,Unknown,Private
431,Fair,Public
432,Fair,Private
433,Fair,Private
434,Unknown,Private
435,Good,Public
436,Fair,Private
437,Fair,Public
438,Unknown,Public
439,Fair,Private
440,Fair,Private
441,Fair,Public
442,Fair,Private
443,Fair,Private
444,Fair,Public
445,Fair,Public
446,Fair,Public
447,Fair,Public
448,Fair,Private
449,Unknown,Private
450,Fair,Public
451,Fair,Private
452,Unknown,Private
453,Fair,Public
454,Good,Private
455,Fair,Private
456,Fair,Private
457,Fair,Private
458,Fair,Private
459,Unknown,Private
460,Fair,Private
461,Fair,Private
462,Fair,Public
463,Fair,Private
464,Fair,Public
465,Fair,Private
466,Fair,Private
467,Fair,Public
468,Unknown,Private
469,Fair,Public
470,Fair,Private
471,Unknown,Public
472,Fair,Private
473,Unknown,Public
474,Fair,Private
475,Unknown,Public
476,Unknown,Private
477,Fair,Private
478,Fair,Public
479,Unknown,Private
480,Unknown,Private
481,Fair,Private
482,Fair,Private
483,Fair,Private
484,Fair,Private
485,Fair,Public
486,Fair,Private
487,Fair,Private
488,Fair,Public
489,Fair,Public
490,Fair,Private
491,Fair,Private
492,Fair,Private
493,Fair,Private
494,Unknown,Private
495,Fair,Private
496,Fair,Private
497,Fair,Private
498,Fair,Public
499,Fair,Public
500,Unknown,Private
501,Fair,Private
502,Fair,Private
503,Fair,Public
504,Fair,Private
505,Fair,Private
506,Fair,Public
507,Unknown,Public
508,Fair,Public
509,Fair,Public
510,Unknown,Private
511,Unknown,Private
512,Fair,Public
513,Fair,Public
514,Unknown,Private
515,Fair,Private
516,Unknown,Private
517,Good,Public
518,Fair,Public
519,Fair,Private
520,Fair,Private
521,Fair,Private
522,Unknown,Public
523,Fair,Public
524,Unknown,Public
525,Fair,Private
526,Fair,Private
527,Fair,Private
528,Unknown,Private
529,Fair,Public
530,Fair,Public
531,Fair,Public
532,Fair,Public
533,Fair,Private
534,Fair,Public
535,Fair,Public
536,Fair,Public
537,Unknown,Private
538,Fair,Private
539,Unknown,Private
540,Fair,Public
541,Fair,Private
542,Fair,Private
543,Fair,Private
544,Fair,Private
545,Fair,Private
546,Fair,Private
547,Fair,Private
548,Fair,Private
549,Fair,Public
550,Fair,Private
551,Fair,Public
552,Unknown,Private
553,Unknown,Private
554,Unknown,Public
555,Fair,Private
556,Fair,Private
557,Fair,Private
558,Unknown,Public
559,Fair,Private
560,Unknown,Public
561,Fair,Private
562,Fair,Private
563,Fair,Private
564,Fair,Private
565,Unknown,Private
566,Fair,Private
567,Fair,Private
568,Pending review,Public
569,Fair,Private
570,Fair,Private
571,Fair,Public
572,Fair,Private
573,Fair,Private
574,Unknown,Public
575,Fair,Public
576,Fair,Private
577,Fair,Public
578,Fair,Private
579,Fair,Private
580,Fair,Private
581,Fair,Public
582,Fair,Private
583,Fair,Private
584,Fair,Private
585,Fair,Private
